window_ms,bins,channel_mode,selected_channels,feature_dim,shrinkage,prior,scaler,aggregation,train_character_correct,train_character_accuracy,train_pr_auc,train_roc_auc,train_balanced_accuracy,test_character_correct_reference,test_character_accuracy_reference,test_predictions_reference
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,0.08,empirical,none,round_zscore_mean,11,0.9166666666666666,0.48601160079999717,0.8054722222222221,0.6191666666666666,6,0.75,2TL5CXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,0.08,balanced,standard,mean,11,0.9166666666666666,0.4843333504571481,0.7879583333333333,0.7158333333333333,6,0.75,2NF5UXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,0.08,balanced,standard,trial_zscore_mean,11,0.9166666666666666,0.4843333504571481,0.7879583333333333,0.7158333333333333,6,0.75,2NF5UXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,0.08,balanced,standard,round_zscore_mean,11,0.9166666666666666,0.4843333504571481,0.7879583333333333,0.7158333333333333,5,0.625,2NF5OLKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,auto,balanced,none,mean,11,0.9166666666666666,0.48398619177053204,0.786375,0.7141666666666666,6,0.75,2NF5UXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,auto,balanced,none,trial_zscore_mean,11,0.9166666666666666,0.48398619177053204,0.786375,0.7141666666666666,6,0.75,2NF5UXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,auto,balanced,standard,mean,11,0.9166666666666666,0.48398619177053204,0.786375,0.7141666666666666,6,0.75,2NF5UXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,auto,balanced,standard,trial_zscore_mean,11,0.9166666666666666,0.48398619177053204,0.786375,0.7141666666666666,6,0.75,2NF5UXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,auto,balanced,none,round_zscore_mean,11,0.9166666666666666,0.48398619177053204,0.786375,0.7141666666666666,4,0.5,2NF5OLGM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,auto,balanced,standard,round_zscore_mean,11,0.9166666666666666,0.48398619177053204,0.786375,0.7141666666666666,4,0.5,2NF5OLGM
